sample1	R634Q	batch1	resources/reads/ERR2856510.fastq
sample2	R634Q	batch1	resources/reads/ERR2856511.fastq
sample3	R634Q	batch1	resources/reads/ERR2856512.fastq
sample4	R634Q	batch1	resources/reads/ERR2856513.fastq
sample5	WT	batch1	resources/reads/ERR2856514.fastq
sample6	WT	batch1	resources/reads/ERR2856515.fastq
sample7	WT	batch1	resources/reads/ERR2856516.fastq
sample8	WT	batch1	resources/reads/ERR2856517.fastq
sample9	WT	batch1	resources/reads/ERR2856518.fastq
sample10	WT	batch1	resources/reads/ERR2856519.fastq
sample11	WT	batch1	resources/reads/ERR2856520.fastq
sample12	P633L	batch1	resources/reads/ERR4578910.fastq
sample13	P633L	batch1	resources/reads/ERR4578911.fastq
